% # columns="iteration, evaluation, void, void, void, xmean", seed=512524, Sat May 17 12:10:22 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 10 0 0 0 2.2697834600019755 -1.530505168835264 0.0034945229842790236
2 20 0 0 0 2.217706333700985 -1.706111793938414 0.007145501772842112
3 30 0 0 0 2.2498766661616005 -1.6131537159855824 0.0010895176628448891
4 40 0 0 0 2.293417721576374 -1.558308162194734 0.045110880832101824
5 50 0 0 0 2.2560385936598917 -1.586444172173344 -0.03512181025485655
6 60 0 0 0 2.2390357450173344 -1.616425348920338 -0.02791829631814808
7 70 0 0 0 2.174134301371972 -1.75408076448642 -0.03265784878923343
8 80 0 0 0 2.1392541464371977 -1.6137585138025263 -0.02841294308642501
9 90 0 0 0 2.059380230017426 -1.588079664059943 -0.018767167350257536
10 100 0 0 0 2.084917981267086 -1.5496556708785607 -0.019876780367679554
11 110 0 0 0 1.9837958831688494 -1.5569259205751282 -0.015593853944876477
12 120 0 0 0 1.9447783246671204 -1.5350816396821203 -0.00902551975224523
13 130 0 0 0 2.0472650597892748 -1.5624579914894048 -0.014961769357720674
14 140 0 0 0 2.16290626933986 -1.5572694507843663 -0.014321616595759158
15 150 0 0 0 2.2361569375133223 -1.5458132621004184 -0.015606831281207528
16 160 0 0 0 2.135603221621909 -1.57274967157386 -0.01322596262615425
17 170 0 0 0 2.158840045024634 -1.582657131464792 -0.012036077380193445
18 180 0 0 0 2.1854698129420393 -1.6164269104493276 -0.015240767746058249
19 190 0 0 0 2.200787575896397 -1.5942059232083845 -0.014533299455301065
20 200 0 0 0 2.2059954506645894 -1.541566482660215 -0.01479833459186596
