% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=512524, Sat May 17 12:10:22 2025, <python>{}</python>
1 10 0.19521300402695702 1.0000333338888951 -2639.6668035109337 -2.6396668035109337e+03 1280.338313205978 6212.999334739887 3736.958406033215   
2 20 0.18984287811434775 1.188048642840522 -2639.6668035109337 -2.5769253884243208e+03 348.65761616623274 5514.045438192419 1979.0282947792903   
3 30 0.14547667964657385 1.4857992425868545 -2639.6668035109337 -1.8738086695290067e+03 88.09027180109047 3854.3017989170266 524.996248330333   
4 40 0.12819179031828298 1.9828245430489004 -2639.6668035109337 -1.4530630003276960e+03 45.068146377376934 2348.2248797787433 772.2306904549138   
5 50 0.13460924866414056 2.5282328785662256 -2639.6668035109337 -2.3354297564471799e+03 -244.19971129764576 1205.7752563615795 1032.6960418915717   
6 60 0.1091887280881434 2.286388133261054 -2639.6668035109337 -2.5723904107299036e+03 879.0939934160276 2744.1435904301943 4348.7109634482495   
7 70 0.12301750306210231 3.329686871676356 -2639.6668035109337 -2.6240965292625824e+03 -1612.032894094946 -363.43232310626695 1259.438759272592   
8 80 0.1203196781928725 5.184296185205508 -2639.6668035109337 -2.6303819159430709e+03 -1078.770815887502 -251.5746358206768 2127.552413951734   
9 90 0.12886005472045733 5.867057041573709 -2689.197420805506 -2.6891974208055062e+03 -1339.1899802474209 -436.5813463515476 2052.4268558534322   
10 100 0.10870095313844332 6.602514125034903 -2689.197420805506 -2.6839548035059129e+03 -2409.844156538674 -902.3627505703467 548.8093459455549   
11 110 0.11221618172922718 7.795911675089598 -2689.197420805506 -2.6845112981583925e+03 -2276.921170482435 -910.5561320550719 808.6924953052339   
12 120 0.11030986721489383 9.596095815101704 -2711.1613862763984 -2.7111613862763984e+03 -2627.3141250267363 -1494.2166807604922 696.1248008515513   
13 130 0.09032201359858316 12.102533517163195 -2805.710396841392 -2.8057103968413921e+03 -2452.222184057471 -1548.3103748739375 486.0231600185398   
14 140 0.09748470312430699 13.353985252268282 -2805.710396841392 -2.7731581627507280e+03 -2649.0885602001417 -2020.803301716268 230.1533362937189   
15 150 0.0974443534956837 22.258912411429854 -2830.0477652899917 -2.8300477652899917e+03 -2641.8330593852606 -2261.807822480718 81.99243848987271   
16 160 0.08307199698116985 25.22496490986027 -2830.0477652899917 -2.8102712736482754e+03 -2602.6127114143574 -2563.0119205758165 72.66153590524618   
17 170 0.07145643570330515 33.474365847457584 -2830.0477652899917 -2.7639166945899015e+03 -2712.485891647495 -2599.7033661112305 89.01908785137039   
18 180 0.06927148606279723 31.4396257167556 -2830.0477652899917 -2.8211260586099088e+03 -2737.643934392316 -2591.343635162514 126.86150496972368   
19 190 0.053752743924591694 32.2602134208313 -2830.0477652899917 -2.7697625224471903e+03 -2660.8607052381735 -2634.529266250047 98.52693777927016   
20 200 0.06034539828951677 35.955016421814776 -2830.0477652899917 -2.7921172410675172e+03 -2721.784616519068 -2624.5470949364785 52.46742283568892   
